date,type,category,amount,description
2026-07-01,income,Salary,65000,Monthly salary
2026-07-03,expense,Food,1800,Groceries and meals
2026-07-05,expense,Transport,1200,Local travel
2026-07-08,expense,Education,4500,Course and learning
2026-07-12,expense,Bills,2200,Utilities
2026-07-15,income,Freelance,8000,Freelance project
2026-07-17,expense,Shopping,3200,Personal purchase
2026-07-21,expense,Entertainment,1500,Weekend activity
2026-07-25,expense,Food,1600,Meals
2026-07-28,expense,Transport,900,Travel
2026-08-01,income,Salary,65000,Monthly salary
2026-08-03,expense,Food,2100,Groceries and meals
2026-08-06,expense,Education,3000,Learning materials
2026-08-09,expense,Bills,2300,Utilities
2026-08-11,income,Freelance,6000,Freelance project
2026-08-12,expense,Shopping,2400,Personal purchase
